Test angle: 90
Node_A_151 coordinates: initialX | initialY | initialZ 
75.0000 | 0.0000 | 0.0000 | 
Node_B_1051 coordinates: initialX | initialY | initialZ 
-75.0000 | 0.0000 | 0.0000 | 
Node_C_606 coordinates: initialX | initialY | initialZ 
0.0000 | 5.0000 | 0.0000 | 
Node_D_1256 coordinates: initialX | initialY | initialZ 
0.0000 | -5.0000 | 0.0000 | 
  UA1  |  UA2  |  UA3 | UB1 | UB2 | UB3 | UC1 | UC2 | UC3 | UD1 | UD2 | UD3 
6.2265 | -0.0057 | 0.0000 | 1.1311 | -0.0052 | -0.0000 | 3.6788 | -0.0672 | 0.0000 | 3.6788 | 0.0563 | -0.0000 | 
6.3032 | -0.0057 | 0.0000 | 1.1450 | -0.0052 | -0.0000 | 3.7241 | -0.0679 | 0.0000 | 3.7240 | 0.0570 | -0.0000 | 
6.3798 | -0.0057 | -0.0000 | 1.1588 | -0.0052 | 0.0000 | 3.7693 | -0.0687 | 0.0000 | 3.7693 | 0.0578 | -0.0000 | 
6.4564 | -0.0058 | -0.0000 | 1.1727 | -0.0052 | -0.0000 | 3.8146 | -0.0695 | 0.0000 | 3.8146 | 0.0585 | -0.0000 | 
6.5331 | -0.0058 | -0.0000 | 1.1866 | -0.0052 | -0.0000 | 3.8598 | -0.0702 | 0.0000 | 3.8598 | 0.0592 | -0.0000 | 
6.6097 | -0.0058 | 0.0000 | 1.2004 | -0.0053 | -0.0000 | 3.9051 | -0.0710 | 0.0000 | 3.9051 | 0.0599 | -0.0000 | 
6.6863 | -0.0058 | -0.0000 | 1.2143 | -0.0053 | -0.0000 | 3.9503 | -0.0717 | 0.0000 | 3.9503 | 0.0607 | -0.0000 | 
6.7630 | -0.0058 | -0.0000 | 1.2282 | -0.0053 | 0.0000 | 3.9956 | -0.0725 | 0.0000 | 3.9956 | 0.0614 | -0.0000 | 
6.8396 | -0.0058 | -0.0000 | 1.2420 | -0.0053 | -0.0000 | 4.0409 | -0.0733 | 0.0000 | 4.0408 | 0.0621 | -0.0000 | 
6.9163 | -0.0058 | -0.0000 | 1.2559 | -0.0053 | 0.0000 | 4.0861 | -0.0740 | 0.0000 | 4.0861 | 0.0629 | -0.0000 | 
6.9929 | -0.0058 | 0.0000 | 1.2698 | -0.0053 | -0.0000 | 4.1314 | -0.0748 | 0.0000 | 4.1314 | 0.0636 | -0.0000 | 
7.0696 | -0.0058 | -0.0000 | 1.2837 | -0.0053 | -0.0000 | 4.1766 | -0.0755 | 0.0000 | 4.1766 | 0.0644 | -0.0000 | 
7.1463 | -0.0059 | 0.0000 | 1.2975 | -0.0053 | 0.0000 | 4.2219 | -0.0763 | 0.0000 | 4.2219 | 0.0651 | -0.0000 | 
7.2229 | -0.0059 | -0.0000 | 1.3114 | -0.0053 | -0.0000 | 4.2672 | -0.0770 | 0.0000 | 4.2671 | 0.0658 | -0.0000 | 
7.2995 | -0.0059 | -0.0000 | 1.3253 | -0.0053 | -0.0000 | 4.3124 | -0.0778 | 0.0000 | 4.3124 | 0.0666 | -0.0000 | 
7.3762 | -0.0059 | -0.0000 | 1.3391 | -0.0053 | -0.0000 | 4.3577 | -0.0785 | 0.0000 | 4.3576 | 0.0673 | -0.0000 | 
7.4529 | -0.0060 | 0.0000 | 1.3530 | -0.0053 | -0.0000 | 4.4029 | -0.0793 | 0.0000 | 4.4029 | 0.0680 | -0.0000 | 
7.5295 | -0.0060 | -0.0000 | 1.3668 | -0.0053 | 0.0000 | 4.4482 | -0.0801 | 0.0000 | 4.4482 | 0.0687 | -0.0000 | 
7.6062 | -0.0060 | -0.0000 | 1.3807 | -0.0054 | -0.0000 | 4.4935 | -0.0808 | 0.0000 | 4.4934 | 0.0695 | -0.0000 | 
7.6828 | -0.0060 | 0.0000 | 1.3946 | -0.0054 | -0.0000 | 4.5387 | -0.0816 | 0.0000 | 4.5387 | 0.0702 | -0.0000 | 
7.7595 | -0.0060 | -0.0000 | 1.4084 | -0.0054 | -0.0000 | 4.5840 | -0.0823 | 0.0000 | 4.5839 | 0.0709 | -0.0000 | 
7.8361 | -0.0060 | -0.0000 | 1.4223 | -0.0054 | -0.0000 | 4.6292 | -0.0831 | 0.0000 | 4.6292 | 0.0716 | -0.0000 | 
